Health Variable,Climate Variable,Correlation,n
FASTING GLUCOSE,temperature_tas_lag0,0.11794304622735974,2731
FASTING GLUCOSE,heat_index_lag0,0.1179430462273597,2731
FASTING GLUCOSE,temperature_tas_lag1,0.10298065934051276,2731
FASTING GLUCOSE,heat_index_lag1,0.10298065934051275,2731
systolic blood pressure,temperature_tas_lag0,-0.09886040508833027,4957
systolic blood pressure,heat_index_lag0,-0.09886040508833044,4957
systolic blood pressure,temperature_tas_lag1,-0.09359273642237925,4957
systolic blood pressure,heat_index_lag1,-0.09359273642237921,4957
diastolic blood pressure,temperature_tas_lag0,0.007051689085619423,4957
diastolic blood pressure,heat_index_lag0,0.007051689085619426,4957
diastolic blood pressure,temperature_tas_lag1,0.019631250312685936,4957
diastolic blood pressure,heat_index_lag1,0.0196312503126859,4957
